"","Season","Year","Month","Holiday","Weekday","Workingday","Weather","Temperature","Atemperature","Humidity","Windspeed","Count"
"2","Spring","2011","Jan","0","0","0","Cloudy",0.363478,0.353739,0.696087,0.248539,801
"5","Spring","2011","Jan","0","3","1","Clear",0.226957,0.22927,0.436957,0.1869,1600
"10","Spring","2011","Jan","0","1","1","Clear",0.150833,0.150888,0.482917,0.223267,1321
"11","Spring","2011","Jan","0","2","1","Cloudy",0.169091,0.191464,0.686364,0.122132,1263
"13","Spring","2011","Jan","0","4","1","Clear",0.165,0.150883,0.470417,0.301,1406
"15","Spring","2011","Jan","0","6","0","Cloudy",0.233333,0.248112,0.49875,0.157963,1248
"16","Spring","2011","Jan","0","0","0","Clear",0.231667,0.234217,0.48375,0.188433,1204
"17","Spring","2011","Jan","1","1","0","Cloudy",0.175833,0.176771,0.5375,0.194017,1000
"18","Spring","2011","Jan","0","2","1","Cloudy",0.216667,0.232333,0.861667,0.146775,683
"20","Spring","2011","Jan","0","4","1","Cloudy",0.261667,0.25505,0.538333,0.195904,1927
"22","Spring","2011","Jan","0","6","0","Clear",0.0591304,0.0790696,0.4,0.17197,981
"24","Spring","2011","Jan","0","1","1","Clear",0.0973913,0.11793,0.491739,0.15833,1416
"26","Spring","2011","Jan","0","3","1","Light Snow",0.2175,0.2036,0.8625,0.29385,506
"37","Spring","2011","Feb","0","0","0","Clear",0.285833,0.291671,0.568333,0.1418,1623
"44","Spring","2011","Feb","0","0","0","Clear",0.316522,0.324113,0.457391,0.260883,1589
"45","Spring","2011","Feb","0","1","1","Clear",0.415,0.39835,0.375833,0.417908,1913
"47","Spring","2011","Feb","0","3","1","Clear",0.318261,0.3162,0.423478,0.251791,2115
"52","Spring","2011","Feb","1","1","0","Cloudy",0.303333,0.284075,0.605,0.307846,1107
"55","Spring","2011","Feb","0","4","1","Cloudy",0.295652,0.289191,0.697391,0.250496,1807
"58","Spring","2011","Feb","0","0","0","Clear",0.343478,0.351109,0.68,0.125248,2402
"59","Spring","2011","Feb","0","1","1","Cloudy",0.407273,0.400118,0.876364,0.289686,1446
"64","Spring","2011","Mar","0","6","0","Cloudy",0.384167,0.378779,0.789167,0.251871,2077
"69","Spring","2011","Mar","0","4","1","Light Snow",0.389091,0.385668,0,0.261877,623
"70","Spring","2011","Mar","0","5","1","Cloudy",0.316522,0.305,0.649565,0.23297,1977
"74","Spring","2011","Mar","0","2","1","Cloudy",0.317391,0.318178,0.655652,0.184309,2056
"76","Spring","2011","Mar","0","4","1","Clear",0.415,0.410333,0.602917,0.209579,2744
"82","Summer","2011","Mar","0","3","1","Cloudy",0.346957,0.337939,0.839565,0.234261,2121
"89","Summer","2011","Mar","0","3","1","Cloudy",0.3,0.29735,0.646667,0.172888,1536
"91","Summer","2011","Apr","0","5","1","Cloudy",0.3,0.283454,0.68625,0.258708,2227
"93","Summer","2011","Apr","0","0","0","Clear",0.378333,0.378767,0.48,0.182213,3249
"96","Summer","2011","Apr","0","3","1","Clear",0.390833,0.387608,0.470833,0.263063,2808
"97","Summer","2011","Apr","0","4","1","Clear",0.4375,0.433696,0.602917,0.162312,3141
"98","Summer","2011","Apr","0","5","1","Cloudy",0.335833,0.324479,0.83625,0.226992,1471
"101","Summer","2011","Apr","0","1","1","Cloudy",0.595652,0.565217,0.716956,0.324474,3348
"105","Summer","2011","Apr","1","5","0","Clear",0.446667,0.441913,0.67125,0.226375,3126
"116","Summer","2011","Apr","0","2","1","Clear",0.631667,0.594083,0.729167,0.3265,4400
"117","Summer","2011","Apr","0","3","1","Cloudy",0.62,0.575142,0.835417,0.3122,3872
"118","Summer","2011","Apr","0","4","1","Cloudy",0.6175,0.578929,0.700833,0.320908,4058
"127","Summer","2011","May","0","6","0","Clear",0.52,0.512621,0.54125,0.16045,4714
"129","Summer","2011","May","0","1","1","Clear",0.5325,0.525246,0.58875,0.176,4362
"130","Summer","2011","May","0","2","1","Clear",0.5325,0.522721,0.489167,0.115671,4803
"131","Summer","2011","May","0","3","1","Clear",0.5425,0.5284,0.632917,0.120642,4182
"138","Summer","2011","May","0","3","1","Cloudy",0.55,0.527158,0.87,0.201492,3855
"139","Summer","2011","May","0","4","1","Cloudy",0.530833,0.510742,0.829583,0.108213,4575
"141","Summer","2011","May","0","6","0","Clear",0.6025,0.571975,0.626667,0.12065,5805
"160","Summer","2011","June","0","4","1","Cloudy",0.808333,0.757579,0.568333,0.149883,3915
"161","Summer","2011","June","0","5","1","Clear",0.755,0.703292,0.605,0.140554,4586
"165","Summer","2011","June","0","2","1","Clear",0.604167,0.591546,0.507083,0.269283,4891
"169","Summer","2011","June","0","6","0","Clear",0.696667,0.643954,0.670417,0.119408,5119
"175","Fall","2011","June","0","5","1","Clear",0.724167,0.656583,0.573333,0.222025,4991
"186","Fall","2011","July","0","2","1","Clear",0.746667,0.696338,0.590417,0.126258,4665
"188","Fall","2011","July","0","4","1","Clear",0.75,0.686871,0.65125,0.1592,4592
"189","Fall","2011","July","0","5","1","Cloudy",0.709167,0.670483,0.757917,0.225129,4040
"190","Fall","2011","July","0","6","0","Clear",0.733333,0.664158,0.609167,0.167912,5336
"191","Fall","2011","July","0","0","0","Clear",0.7475,0.690025,0.578333,0.183471,4881
"195","Fall","2011","July","0","4","1","Clear",0.680833,0.635104,0.47625,0.240667,5084
"199","Fall","2011","July","0","1","1","Clear",0.746667,0.703925,0.65125,0.215804,4458
"212","Fall","2011","July","0","0","0","Clear",0.805833,0.729796,0.480833,0.164813,4302
"215","Fall","2011","Aug","0","3","1","Cloudy",0.731667,0.679937,0.6575,0.135583,3574
"221","Fall","2011","Aug","0","2","1","Clear",0.775,0.724121,0.570417,0.151121,4602
"225","Fall","2011","Aug","0","6","0","Cloudy",0.685833,0.645858,0.729583,0.211454,4150
"226","Fall","2011","Aug","0","0","0","Cloudy",0.676667,0.624388,0.8175,0.222633,3820
"227","Fall","2011","Aug","0","1","1","Clear",0.665833,0.616167,0.712083,0.208954,4338
"230","Fall","2011","Aug","0","4","1","Clear",0.711667,0.662258,0.654583,0.233208,3805
"235","Fall","2011","Aug","0","2","1","Clear",0.640833,0.606067,0.455417,0.146763,5895
"236","Fall","2011","Aug","0","3","1","Clear",0.673333,0.630692,0.605,0.253108,5130
"237","Fall","2011","Aug","0","4","1","Cloudy",0.684167,0.645854,0.771667,0.210833,3542
"239","Fall","2011","Aug","0","6","0","Cloudy",0.68,0.635556,0.85,0.375617,1115
"240","Fall","2011","Aug","0","0","0","Clear",0.707059,0.647959,0.561765,0.304659,4334
"241","Fall","2011","Aug","0","1","1","Clear",0.636667,0.607958,0.554583,0.159825,4634
"244","Fall","2011","Sep","0","4","1","Clear",0.655,0.614921,0.639167,0.141796,5115
"245","Fall","2011","Sep","0","5","1","Cloudy",0.643333,0.604808,0.727083,0.139929,4727
"246","Fall","2011","Sep","0","6","0","Clear",0.669167,0.633213,0.716667,0.185325,4484
"247","Fall","2011","Sep","0","0","0","Clear",0.709167,0.665429,0.742083,0.206467,4940
"249","Fall","2011","Sep","0","2","1","Light Snow",0.54,0.5152,0.886957,0.343943,2710
"250","Fall","2011","Sep","0","3","1","Light Snow",0.599167,0.544229,0.917083,0.0970208,1996
"252","Fall","2011","Sep","0","5","1","Cloudy",0.65,0.578946,0.897917,0.124379,3544
"257","Fall","2011","Sep","0","3","1","Clear",0.673333,0.6269,0.697083,0.1673,4785
"259","Fall","2011","Sep","0","5","1","Cloudy",0.469167,0.461475,0.590417,0.164183,4760
"261","Fall","2011","Sep","0","0","0","Clear",0.5075,0.490537,0.695,0.178483,4274
"265","Fall","2011","Sep","0","4","1","Cloudy",0.628333,0.554963,0.902083,0.128125,4795
"273","Winter","2011","Sep","0","5","1","Clear",0.564167,0.544829,0.6475,0.206475,5202
"274","Winter","2011","Oct","0","6","0","Cloudy",0.41,0.412863,0.75375,0.292296,2429
"275","Winter","2011","Oct","0","0","0","Cloudy",0.356667,0.345317,0.791667,0.222013,2918
"281","Winter","2011","Oct","0","6","0","Clear",0.521667,0.513242,0.70125,0.0454042,5409
"282","Winter","2011","Oct","0","0","0","Clear",0.540833,0.523983,0.7275,0.06345,5511
"291","Winter","2011","Oct","0","2","1","Cloudy",0.5325,0.522721,0.701667,0.110087,4748
"297","Winter","2011","Oct","0","1","1","Clear",0.463333,0.457067,0.772083,0.118792,4187
"302","Winter","2011","Oct","0","6","0","Light Snow",0.254167,0.227913,0.8825,0.351371,627
"309","Winter","2011","Nov","0","6","0","Clear",0.326667,0.323854,0.519167,0.189062,3926
"312","Winter","2011","Nov","0","2","1","Clear",0.408333,0.412246,0.721667,0.0690375,4205
"327","Winter","2011","Nov","0","3","1","Cloudy",0.440833,0.430537,0.757917,0.335825,2566
"330","Winter","2011","Nov","0","6","0","Clear",0.375833,0.385087,0.681667,0.0684208,3068
"331","Winter","2011","Nov","0","0","0","Clear",0.459167,0.4558,0.698333,0.208954,3071
"342","Winter","2011","Dec","0","4","1","Clear",0.265833,0.256938,0.58,0.240058,3322
"346","Winter","2011","Dec","0","1","1","Clear",0.238333,0.270196,0.670833,0.06345,3310
"349","Winter","2011","Dec","0","4","1","Cloudy",0.4225,0.412237,0.634167,0.268042,3709
"352","Winter","2011","Dec","0","0","0","Clear",0.238333,0.245579,0.58625,0.169779,2431
"354","Winter","2011","Dec","0","2","1","Cloudy",0.385833,0.396454,0.595417,0.0615708,3750
"362","Spring","2011","Dec","0","3","1","Clear",0.29913,0.279974,0.503913,0.293961,2302
"364","Spring","2011","Dec","0","5","1","Clear",0.311667,0.318812,0.636667,0.134337,2999
"365","Spring","2011","Dec","0","6","0","Clear",0.41,0.414121,0.615833,0.220154,2485
"366","Spring","2012","Jan","0","0","0","Clear",0.37,0.375621,0.6925,0.192167,2294
"370","Spring","2012","Jan","0","4","1","Clear",0.265833,0.278412,0.524167,0.129987,3272
"372","Spring","2012","Jan","0","6","0","Clear",0.393333,0.390779,0.531667,0.174758,4521
"374","Spring","2012","Jan","0","1","1","Cloudy",0.224167,0.247479,0.701667,0.0989,2376
"382","Spring","2012","Jan","0","2","1","Cloudy",0.373043,0.364278,0.716087,0.34913,2935
"387","Spring","2012","Jan","0","0","0","Cloudy",0.1625,0.16225,0.79625,0.199638,1977
"389","Spring","2012","Jan","0","2","1","Clear",0.3425,0.349108,0.835833,0.123767,4339
"390","Spring","2012","Jan","0","3","1","Clear",0.294167,0.294821,0.64375,0.161071,4270
"394","Spring","2012","Jan","0","0","0","Clear",0.2825,0.272721,0.31125,0.24005,3243
"397","Spring","2012","Feb","0","3","1","Clear",0.469167,0.466538,0.507917,0.189067,4579
"406","Spring","2012","Feb","0","5","1","Cloudy",0.280833,0.293558,0.54,0.116929,3831
"410","Spring","2012","Feb","0","2","1","Cloudy",0.319167,0.333946,0.50875,0.141179,3922
"411","Spring","2012","Feb","0","3","1","Clear",0.348333,0.351629,0.53125,0.1816,4169
"412","Spring","2012","Feb","0","4","1","Cloudy",0.316667,0.330162,0.752917,0.091425,3005
"416","Spring","2012","Feb","1","1","0","Clear",0.28,0.273391,0.507826,0.229083,3129
"419","Spring","2012","Feb","0","4","1","Clear",0.454167,0.444446,0.554583,0.190913,5062
"421","Spring","2012","Feb","0","6","0","Clear",0.290833,0.255675,0.395833,0.421642,2732
"431","Spring","2012","Mar","0","2","1","Clear",0.258333,0.255042,0.456667,0.200875,3956
"434","Spring","2012","Mar","0","5","1","Cloudy",0.410833,0.397083,0.407083,0.4148,4569
"438","Spring","2012","Mar","0","2","1","Clear",0.565,0.542929,0.6175,0.23695,5847
"440","Spring","2012","Mar","0","4","1","Clear",0.5575,0.532825,0.579583,0.149883,6192
"442","Spring","2012","Mar","0","6","0","Cloudy",0.514167,0.505046,0.755833,0.110704,7836
"443","Spring","2012","Mar","0","0","0","Cloudy",0.4725,0.464,0.81,0.126883,5892
"444","Spring","2012","Mar","0","1","1","Clear",0.545,0.532821,0.72875,0.162317,6153
"451","Summer","2012","Mar","0","1","1","Clear",0.445833,0.43875,0.477917,0.386821,5558
"462","Summer","2012","Apr","0","5","1","Clear",0.403333,0.390767,0.377083,0.300388,6460
"463","Summer","2012","Apr","0","6","0","Clear",0.4375,0.426129,0.254167,0.274871,6857
"464","Summer","2012","Apr","0","0","0","Clear",0.5,0.492425,0.275833,0.232596,5169
"466","Summer","2012","Apr","0","2","1","Clear",0.446667,0.436233,0.435,0.249375,5918
"467","Summer","2012","Apr","0","3","1","Clear",0.348696,0.337274,0.469565,0.295274,4862
"472","Summer","2012","Apr","1","1","0","Clear",0.664167,0.614925,0.561667,0.284829,6370
"473","Summer","2012","Apr","0","2","1","Clear",0.608333,0.598487,0.390417,0.273629,6691
"476","Summer","2012","Apr","0","5","1","Clear",0.526667,0.515775,0.694583,0.149871,7290
"479","Summer","2012","Apr","0","1","1","Cloudy",0.321667,0.301125,0.766667,0.303496,3214
"481","Summer","2012","Apr","0","3","1","Clear",0.476667,0.470317,0.427917,0.118792,6196
"487","Summer","2012","May","0","2","1","Cloudy",0.613333,0.577021,0.659583,0.156096,5740
"493","Summer","2012","May","0","1","1","Cloudy",0.5375,0.527142,0.664167,0.230721,6273
"494","Summer","2012","May","0","2","1","Cloudy",0.581667,0.557471,0.685833,0.296029,5728
"495","Summer","2012","May","0","3","1","Cloudy",0.575,0.553025,0.744167,0.216412,4717
"498","Summer","2012","May","0","6","0","Clear",0.564167,0.544817,0.480417,0.123133,7429
"499","Summer","2012","May","0","0","0","Clear",0.6125,0.585238,0.57625,0.225117,6118
"500","Summer","2012","May","0","1","1","Cloudy",0.573333,0.5499,0.789583,0.212692,2843
"505","Summer","2012","May","0","6","0","Clear",0.6,0.566908,0.45625,0.083975,8294
"507","Summer","2012","May","0","1","1","Cloudy",0.598333,0.565667,0.81125,0.233204,4359
"509","Summer","2012","May","0","3","1","Cloudy",0.621667,0.584612,0.774583,0.102,5260
"511","Summer","2012","May","0","5","1","Clear",0.68,0.627529,0.747083,0.14055,6734
"514","Summer","2012","May","1","1","0","Clear",0.7125,0.6793,0.67625,0.196521,6043
"521","Summer","2012","June","0","1","1","Clear",0.5975,0.578283,0.487083,0.284833,6998
"523","Summer","2012","June","0","3","1","Clear",0.554167,0.542292,0.61125,0.077125,7055
"524","Summer","2012","June","0","4","1","Clear",0.6025,0.569442,0.567083,0.15735,7494
"528","Summer","2012","June","0","1","1","Cloudy",0.720833,0.659721,0.587917,0.207713,6664
"529","Summer","2012","June","0","2","1","Cloudy",0.653333,0.597875,0.833333,0.214546,4972
"534","Summer","2012","June","0","0","0","Clear",0.5925,0.571975,0.59875,0.144904,6978
"535","Summer","2012","June","0","1","1","Cloudy",0.568333,0.544842,0.777917,0.174746,5099
"539","Fall","2012","June","0","5","1","Clear",0.7775,0.724121,0.57375,0.182842,5823
"541","Fall","2012","June","0","0","0","Clear",0.743333,0.674254,0.479167,0.145525,6891
"543","Fall","2012","June","0","2","1","Clear",0.630833,0.594704,0.373333,0.347642,7442
"546","Fall","2012","June","0","5","1","Clear",0.834167,0.786613,0.48875,0.165417,5463
"548","Fall","2012","July","0","0","0","Clear",0.815833,0.750629,0.51875,0.168529,5531
"550","Fall","2012","July","0","2","1","Clear",0.780833,0.70265,0.492083,0.126237,6660
"553","Fall","2012","July","0","5","1","Clear",0.828333,0.752533,0.450833,0.146142,6207
"556","Fall","2012","July","0","1","1","Cloudy",0.710833,0.654054,0.683333,0.180975,6569
"560","Fall","2012","July","0","5","1","Cloudy",0.731667,0.667933,0.485833,0.08085,7499
"563","Fall","2012","July","0","1","1","Clear",0.763333,0.724125,0.645,0.164187,6830
"567","Fall","2012","July","0","5","1","Cloudy",0.665833,0.613025,0.844167,0.208967,5870
"570","Fall","2012","July","0","1","1","Clear",0.741667,0.690017,0.694167,0.138683,6966
"574","Fall","2012","July","0","5","1","Clear",0.781667,0.734217,0.594583,0.152992,6904
"575","Fall","2012","July","0","6","0","Clear",0.755833,0.697604,0.613333,0.15735,6685
"576","Fall","2012","July","0","0","0","Clear",0.721667,0.667933,0.62375,0.170396,6597
"580","Fall","2012","Aug","0","4","1","Clear",0.7525,0.707088,0.659583,0.129354,7261
"581","Fall","2012","Aug","0","5","1","Cloudy",0.765833,0.722867,0.6425,0.215792,7175
"582","Fall","2012","Aug","0","6","0","Clear",0.793333,0.751267,0.613333,0.257458,6824
"586","Fall","2012","Aug","0","3","1","Cloudy",0.75,0.707717,0.672917,0.1107,7534
"589","Fall","2012","Aug","0","6","0","Cloudy",0.6925,0.638267,0.732917,0.206479,6299
"592","Fall","2012","Aug","0","2","1","Clear",0.726667,0.676779,0.686667,0.169158,6784
"600","Fall","2012","Aug","0","3","1","Clear",0.6675,0.621854,0.677083,0.0702833,7375
"604","Fall","2012","Aug","0","0","0","Cloudy",0.653333,0.595996,0.845833,0.228858,5255
"606","Fall","2012","Aug","0","2","1","Clear",0.728333,0.66605,0.62,0.190925,7040
"611","Fall","2012","Sep","0","0","0","Cloudy",0.696667,0.649,0.815,0.0640708,5810
"613","Fall","2012","Sep","0","2","1","Clear",0.725833,0.686888,0.755,0.236321,6864
"616","Fall","2012","Sep","0","5","1","Clear",0.703333,0.657204,0.73625,0.171646,7504
"619","Fall","2012","Sep","0","1","1","Clear",0.583333,0.565654,0.50375,0.258713,7525
"629","Fall","2012","Sep","0","4","1","Clear",0.546667,0.532192,0.618333,0.118167,7720
"630","Fall","2012","Sep","0","5","1","Clear",0.599167,0.571971,0.66875,0.154229,8167
"631","Fall","2012","Sep","0","6","0","Clear",0.65,0.610488,0.646667,0.283583,8395
"634","Winter","2012","Sep","0","2","1","Clear",0.55,0.544179,0.57,0.236321,7538
"635","Winter","2012","Sep","0","3","1","Clear",0.635,0.596613,0.630833,0.2444,7733
"642","Winter","2012","Oct","0","3","1","Cloudy",0.6575,0.599133,0.79375,0.0665458,7572
"646","Winter","2012","Oct","0","0","0","Cloudy",0.415833,0.419813,0.708333,0.141162,3510
"647","Winter","2012","Oct","1","1","0","Cloudy",0.383333,0.387608,0.709583,0.189679,5478
"648","Winter","2012","Oct","0","2","1","Cloudy",0.446667,0.438112,0.761667,0.1903,6392
"650","Winter","2012","Oct","0","4","1","Clear",0.435,0.431167,0.463333,0.181596,7570
"657","Winter","2012","Oct","0","4","1","Cloudy",0.5225,0.512625,0.728333,0.236937,7509
"659","Winter","2012","Oct","0","6","0","Clear",0.484167,0.472842,0.572917,0.117537,8090
"661","Winter","2012","Oct","0","1","1","Clear",0.4875,0.482942,0.568333,0.0814833,7058
"667","Winter","2012","Oct","0","0","0","Cloudy",0.4775,0.467771,0.694583,0.398008,4459
"669","Winter","2012","Oct","0","2","1","Cloudy",0.318182,0.309909,0.825455,0.213009,1096
"670","Winter","2012","Oct","0","3","1","Cloudy",0.3575,0.3611,0.666667,0.166667,5566
"672","Winter","2012","Nov","0","5","1","Clear",0.355,0.356042,0.522083,0.266175,5847
"673","Winter","2012","Nov","0","6","0","Cloudy",0.343333,0.323846,0.49125,0.270529,5138
"675","Winter","2012","Nov","0","1","1","Clear",0.319167,0.308075,0.494167,0.236325,5259
"687","Winter","2012","Nov","0","6","0","Clear",0.325,0.326383,0.545417,0.179729,5629
"689","Winter","2012","Nov","0","1","1","Cloudy",0.380833,0.375621,0.623333,0.235067,5499
"692","Winter","2012","Nov","1","4","0","Clear",0.34,0.350371,0.580417,0.0528708,2425
"697","Winter","2012","Nov","0","2","1","Cloudy",0.291667,0.281558,0.786667,0.237562,3959
"698","Winter","2012","Nov","0","3","1","Clear",0.296667,0.289762,0.50625,0.210821,5260
"699","Winter","2012","Nov","0","4","1","Clear",0.28087,0.298422,0.555652,0.115522,5323
"703","Winter","2012","Dec","0","1","1","Clear",0.4525,0.455796,0.7675,0.0827208,6234
"704","Winter","2012","Dec","0","2","1","Clear",0.475833,0.469054,0.73375,0.174129,6606
"706","Winter","2012","Dec","0","4","1","Clear",0.255833,0.258204,0.50875,0.174754,5375
"707","Winter","2012","Dec","0","5","1","Cloudy",0.320833,0.321958,0.764167,0.1306,5008
"709","Winter","2012","Dec","0","0","0","Cloudy",0.384167,0.390146,0.905417,0.157975,3228
"710","Winter","2012","Dec","0","1","1","Cloudy",0.435833,0.435575,0.925,0.190308,5170
"711","Winter","2012","Dec","0","2","1","Cloudy",0.353333,0.338363,0.596667,0.296037,5501
"712","Winter","2012","Dec","0","3","1","Cloudy",0.2975,0.297338,0.538333,0.162937,5319
"717","Winter","2012","Dec","0","1","1","Cloudy",0.393333,0.4015,0.907083,0.0982583,4585
"722","Spring","2012","Dec","0","6","0","Clear",0.265833,0.236113,0.44125,0.407346,1749
"731","Spring","2012","Dec","0","1","1","Cloudy",0.215833,0.223487,0.5775,0.154846,2729
